untk;untuk
better;lebih baik
responsive;cepat tanggap
flush;siram
riskan;mudah
opsi;pilih
tv;televisi
upgrade;tingkat
buffering;mutar
hanger;gantungan baju
exp;kadaluwarsa
swimming;renang
family;keluarga
ikon;simbol
this;ini
from;dari
til;sampai
helpful;sangat membantu
sekalii;sekali
thankyou;terima kasih
enaaak;enak
gym;pusat kebugaran
kl;kalau
lg;lagi
repot;susah
tuan;karyawan
akomodasi;penginapan
vandenberg;vredeburg
yg;yang
water;air
nggak;tidak
cozy;nyaman
cm;senti meter
sembari;sambil
brankas;lemari besi
hair;rambut
dryer;kering
nntn;nonton
for;untuk
free;gratis
movie;flim
ajak;undang
loby;ruang tunggu
lobi;ruang tunggu
oke;bagus
ok;bagus
okk;bagus
lahh;banget
thn;tahun
kenagan;kenangan
twrjadi ;terjadi
qualitas;kualitas
dinein;makan tempat
adjust;seragam
review;ulasan
divisi;bagian
tak;tidak
laen;lain
note;catatan
nyamaaaannnn;nyaman
fb;makan dan minum
helpful;sangat bantu
justru;malah
top;mantap
lah;banget
comfy;nyaman
colorful;sangat berwarna
booking;pesan
wib;waktu indonesia barat
ci;lapor masuk
lobby;ruang tunggu
cafe;coffe
kape;coffe
caffee;coffe
baguss;bagus
dapet;dapat
no;nomor
ac;pendingin ruang
sempet ;sempat
ga;tidak
agak;sedikit
reasonable;punya alasan
drop;turun
zone;zona
ojol ;ojek online
ngomel;marah
lemot;lama
malio;malioboro
fantastis;luar biasa
semarak;megah
marioboro;malioboro
vallet;petugas parkir
connecting;terhubung
door;pintu
fresh ;segar
dr;dari
dtg;datang
sigap;cepat tanggap
event;acara
run;lari
midah;mudah
gud;bagus
worth;layak
mantab;mantap
plus;nilai tambah
butter;mentega
adem;dingin
thanks;terima kasih
consume;konsumsi
seger;segar
crowd ;ramai
road;jalan
training;latihan
avita;aveta
avieta;aveta
meeting;rapat
dll;dan lain lain
per ;setiap
vibes;suasana
klw ;kalau
ilang;hilang
dasbor;tempat simpan
naro;taruh
nggak;tidak
alternatif;pilihan
pakek;pakai
ksh;kasih
spend;habis
money;uang 
time;waktu
wkt;waktu
pake;pakai
kmrn;kemaren
sll;selalu
lbh;lebih
trmksh ;terima kasih
skl;sekali
sdh;sudah
sgt;sangat
sll ;selalu
team;karyawan
affordable;dapat dijangkau
honeymoon;bulan madu
honey;madu
moon;bulan
cake;kue
asesoris;kelengkapan
card;kartu
privacy;privat
rooftop;lantai atas
tuk;untuk
backpacker;pelancong
ato;atau
mug;gelas keramik
soft;soda
drink;minum
maker;panas
hrs;harus
co;lapor keluar
okee;bagus
must;harus
try;coba
sorry;maaf
start;bintang
kids;anak
lansia;orang tua
luggage ;koper
ruck;rak
pest;hama
gmn;gimana
ud;sudah
udh;sudah
udah;sudah
dah;sudah
tim;karyawan
jet;cadangan
automatic;otomatis
message;pesan singkat
customer;tamu 
rp;rupiah
bbrp;beberapa
surface ;lapisan
liquid;cairan
barefoot;tanpa alas kaki
interior ;bagian dalam
